epxWave,epyWave
-6.78798,11.2612
-6.72042,11.3957
-6.6487,11.4891
-6.74773,11.5698
-6.83315,11.7738
-7.02377,11.9919
-7.02026,11.6216
-6.75187,11.9275
-6.96494,11.8114
-6.85223,12.0136
-6.74953,12.1006
-6.66442,11.9684
-6.81815,12.1116
-6.79229,12.0841
-6.7013,11.9461
-6.72836,11.9699
-6.72964,11.9236
-6.63362,12.1092
-6.79863,11.7888
-7.05318,12.0944
-6.69352,12.1264
-6.8778,12.0593
-6.90702,12.0104
-6.76685,12.2575
-6.71421,11.9404
-6.70109,11.9665
-6.44657,12.1383
-6.52445,12.0606
-6.67055,12.0688
-6.79892,11.9019
-6.60878,11.9706
-6.68471,11.8699
-6.68037,11.9504
-6.71375,11.9487
-6.86432,12.0015
-6.56223,12.0872
-6.69474,11.8494
-6.71189,11.7973
-6.71002,11.9315
-6.55392,11.6184
-6.54176,11.7541
-6.63465,11.7443
-6.86838,12.2336
-6.90033,12.0869
-6.92533,12.3085
-6.88004,12.3496
-7.02909,12.072
-6.98066,11.6116
-6.91711,11.9748
-6.56656,11.9178
-7.01643,12.3808
-7.01925,11.7505
-6.97449,11.8637
-7.17772,12.2202
-6.91075,11.9583
-7.30126,11.934
-7.14969,11.785
-7.02756,12.2424
-7.04513,12.0191
-6.94584,11.6662
-6.86724,11.8181
-7.10427,11.9733
-6.98802,11.5707
-6.91704,11.8823
-7.15679,12.4437
-6.63043,12.2172
-6.69665,12.1018
-6.49756,11.869
-6.60501,11.8896
-6.72027,12.0876
-6.74409,12.0739
-6.55655,11.9371
-6.8798,11.9978
-6.814,12.0486
-6.51792,12.0062
-6.96909,12.1352
-6.81916,11.9911
-6.85186,12.0005
-6.7274,12.0746
-6.6715,12.0679
-6.81198,11.7681
-6.56736,11.8542
-6.75831,11.9647
-6.75437,11.8006
-6.77734,11.8384
-6.71304,11.9056
-6.97223,11.765
-7.07251,12.078
-6.88343,11.7132
-6.79207,12.0118
-6.86907,11.9503
-6.92169,12.2235
-6.94693,11.8621
-6.99454,12.3499
-7.13959,12.1525
-6.84047,11.8822
-6.69286,11.6994
-7.11171,11.7333
-6.9908,11.782
-7.07794,11.605
-7.06131,12.17
-7.22843,12.0932
-6.9619,12.2563
-6.80317,11.8561
-6.81453,11.9307
-6.71651,11.8218
-6.84072,11.9768
-6.80191,12.2976
-7.20542,12.0864
-7.00191,12.454
-6.97214,12.5484
-7.00852,12.256
-6.93908,12.3238
-7.01944,12.1276
-6.84103,12.3162
-7.0499,12.1153
-6.74412,12.1802
-6.95249,12.2131
-7.12229,12.3428
-7.14222,12.5512
-6.85973,12.24
-7.14718,12.1399
-6.92858,12.372
-6.98078,12.374
-6.82758,12.3675
-6.80808,12.3144
-7.08308,12.2497
-6.81097,12.4257
-6.92586,12.5631
-6.73363,12.5372
-6.86707,12.6327
-6.72352,12.3391
-6.87275,12.0998
-6.69501,12.3605
-6.96452,12.5036
-6.99328,12.2076
-6.99744,12.4312
-6.94062,12.412
-6.89239,12.5266
-6.98588,12.2989
-7.05598,12.3813
-6.98055,12.1624
-7.00137,12.2627
-6.86814,12.4713
-6.82099,12.174
-7.03508,12.3324
-7.09197,12.2256
-6.97929,12.2243
-7.05869,11.8943
-6.94192,12.2858
-6.686,12.2481
-6.76133,12.2218
-6.89877,12.0123
-7.29412,12.1988
-6.83921,11.8385
-7.10521,11.8734
-7.12473,11.9925
-7.15489,11.815
-6.87085,11.8105
-7.14707,11.9788
-7.10499,12.2192
-7.02564,11.9852
-6.98429,11.9122
-7.10524,12.0218
-7.14547,12.156
-6.83176,11.9132
-6.98177,12.0983
-6.80448,12.1465
-6.96125,12.016
-6.7547,12.1324
-6.83151,11.9994
-7.05068,11.9898
-6.72677,12.1199
-6.87332,12.2101
-6.87809,12.2463
-6.88335,12.0141
-6.74296,12.0789
-6.97016,12.2826
-6.81398,12.2808
-6.85198,12.0113
-7.06086,12.0335
-6.822,12.0437
-7.22298,12.1041
-6.96979,12.2156
-6.97985,12.0696
-6.5197,11.805
-6.70373,11.5783
-6.72367,11.8257
-6.92723,12.149
-6.83972,11.9541
-7.00475,12.1586
-6.87538,12.396
-6.8699,11.8788
-7.07139,12.4802
-6.69488,12.1839
-6.84806,12.137
-6.68202,12.5208
-6.75934,11.9336
-6.81092,12.0578
-6.82801,12.1123
-6.79777,12.005
-6.73862,12.2276
-6.89864,12.1287
-6.72032,12.1213
-6.93178,12.1125
-6.91688,11.7749
-6.63352,12.0221
-6.50776,12.1769
-6.76324,11.9607
-6.5834,12.0976
-6.70066,11.7759
-6.83031,12.0427
-6.92565,12.1813
-6.73139,12.0301
-6.8137,11.8465
-6.88897,11.6979
-6.93845,12.2097
-6.70229,11.7696
-6.82143,11.614
-6.66561,11.6409
-6.7709,11.8706
-7.02004,11.9716
-6.88468,11.6908
-7.17789,11.4841
-6.95182,11.629
-7.09445,11.5045
-7.40344,11.2847
-7.23237,11.4747
-7.1517,11.235
-6.80027,11.4771
-6.76332,11.4692
-6.97136,11.6281
-6.82159,11.8012
-7.0466,11.3343
-6.98267,11.6295
-6.63932,11.379
-6.94556,11.5906
-6.89512,11.8271
-7.17853,11.5735
-6.74137,11.4093
-6.88872,11.6055
-6.95182,11.3315
-6.68379,11.8885
-6.82262,12.0097
-6.93396,11.9261
-7.10715,11.9265
-6.92815,11.8359
-6.98183,11.8923
-6.95186,11.9216
-6.78495,12.1528
-6.76851,11.8779
-6.80629,12.3282
-6.91119,12.1401
-6.86658,11.9724
-7.00171,12.3551
-6.78759,12.0707
-6.95734,12.266
